2025/12/10 00:02:42.498 Cnt: 00000159	State: 04	Flags: 0x04130080	Pos: 3.746e+00	Vel: 8.059e+01	Iq: 1.093e+00	DcV: 1.713e+01	DcI: 1.023e-01	DcP:-5.487e-01	ExV: 2.463e+01	ExI: 3.338e-01	ExP: 8.206e+00	WoV: 1.175e+01	WoI: 3.196e-01	WoP: 3.757e+00	Tm:-1.159e+02	Tr: 1.187e+02
2025/12/10 00:02:52.555 Cnt: 00000169	State: 04	Flags: 0x04130080	Pos: 3.788e+00	Vel: 2.084e+02	Iq: 2.873e+00	DcV: 1.726e+01	DcI: 6.402e-01	DcP:-8.795e+00	ExV: 2.463e+01	ExI: 3.470e-01	ExP: 8.524e+00	WoV: 1.176e+01	WoI: 3.219e-01	WoP: 3.785e+00	Tm:-1.232e+02	Tr: 1.377e+02
2025/12/10 00:03:02.611 Cnt: 00000179	State: 04	Flags: 0x04130080	Pos: 7.289e+00	Vel: 1.460e+02	Iq: 2.122e+00	DcV: 1.775e+01	DcI: 2.741e-01	DcP:-3.262e+00	ExV: 2.466e+01	ExI: 3.278e-01	ExP: 8.022e+00	WoV: 1.176e+01	WoI: 3.204e-01	WoP: 3.767e+00	Tm: 2.250e+02	Tr: 2.280e+02
2025/12/10 00:03:12.673 Cnt: 00000189	State: 04	Flags: 0x04130080	Pos: 2.538e+00	Vel: 2.432e+02	Iq: 3.339e+00	DcV: 1.815e+01	DcI: 7.032e-01	DcP:-1.204e+01	ExV: 2.467e+01	ExI: 3.232e-01	ExP: 7.944e+00	WoV: 1.176e+01	WoI: 3.203e-01	WoP: 3.766e+00	Tm:-2.224e+02	Tr: 2.463e+02
2025/12/10 00:03:22.731 Cnt: 00000199	State: 04	Flags: 0x04130080	Pos: 7.665e-01	Vel: 3.042e+02	Iq: 4.097e+00	DcV: 1.849e+01	DcI: 1.291e+00	DcP:-1.991e+01	ExV: 2.466e+01	ExI: 3.330e-01	ExP: 8.178e+00	WoV: 1.176e+01	WoI: 3.196e-01	WoP: 3.757e+00	Tm:-3.771e+02	Tr: 3.859e+02
2025/12/10 00:03:32.793 Cnt: 00000209	State: 04	Flags: 0x04130080	Pos: 4.082e+00	Vel: 1.597e+02	Iq: 1.858e+00	DcV: 1.854e+01	DcI: 2.418e-01	DcP:-3.274e+00	ExV: 2.464e+01	ExI: 3.419e-01	ExP: 8.393e+00	WoV: 1.176e+01	WoI: 3.185e-01	WoP: 3.744e+00	Tm:-7.538e+01	Tr: 1.098e+02
2025/12/10 00:03:42.855 Cnt: 00000219	State: 04	Flags: 0x04130080	Pos: 1.282e+00	Vel: 2.248e+02	Iq: 3.126e+00	DcV: 1.881e+01	DcI: 6.873e-01	DcP:-9.664e+00	ExV: 2.466e+01	ExI: 3.597e-01	ExP: 8.850e+00	WoV: 1.175e+01	WoI: 3.190e-01	WoP: 3.749e+00	Tm:-3.404e+02	Tr: 3.468e+02
2025/12/10 00:03:52.905 Cnt: 00000229	State: 04	Flags: 0x04130080	Pos: 2.380e+00	Vel: 1.055e+02	Iq: 3.026e+01	DcV: 1.889e+01	DcI: 2.679e-02	DcP: 3.185e-01	ExV: 2.467e+01	ExI: 3.398e-01	ExP: 8.346e+00	WoV: 1.176e+01	WoI: 3.207e-01	WoP: 3.770e+00	Tm:-1.981e+02	Tr: 2.003e+02
2025/12/10 00:04:02.959 Cnt: 00000239	State: 04	Flags: 0x04130080	Pos: 2.956e+00	Vel: 4.393e+01	Iq: 5.915e-01	DcV: 1.898e+01	DcI: 2.533e-02	DcP: 3.225e-01	ExV: 2.468e+01	ExI: 3.487e-01	ExP: 8.584e+00	WoV: 1.175e+01	WoI: 3.202e-01	WoP: 3.763e+00	Tm:-1.883e+02	Tr: 1.890e+02
2025/12/10 00:04:13.018 Cnt: 00000249	State: 04	Flags: 0x04030080	Pos: 3.826e+00	Vel: 6.067e+01	Iq: 3.132e+01	DcV: 1.935e+01	DcI: 6.847e-03	DcP: 1.324e-01	ExV: 2.470e+01	ExI: 3.684e-01	ExP: 9.073e+00	WoV: 1.176e+01	WoI: 3.189e-01	WoP: 3.749e+00	Tm:-6.600e+01	Tr: 7.229e+01
