2025/12/09 00:02:42.826 Cnt: 00000159	State: 04	Flags: 0x04130080	Pos:-4.513e-01	Vel: 1.781e+02	Iq: 2.735e+00	DcV: 2.248e+01	DcI: 4.262e-01	DcP:-6.477e+00	ExV: 2.648e+01	ExI: 3.803e-01	ExP: 1.007e+01	WoV: 1.176e+01	WoI: 3.229e-01	WoP: 3.796e+00	Tm:-3.972e+02	Tr: 4.023e+02
2025/12/09 00:02:52.889 Cnt: 00000169	State: 04	Flags: 0x04130080	Pos: 6.297e-01	Vel: 2.135e+02	Iq: 3.509e+00	DcV: 2.266e+01	DcI: 5.815e-01	DcP:-1.055e+01	ExV: 2.652e+01	ExI: 4.041e-01	ExP: 1.070e+01	WoV: 1.176e+01	WoI: 3.206e-01	WoP: 3.770e+00	Tm:-3.135e+02	Tr: 3.245e+02
2025/12/09 00:03:02.944 Cnt: 00000179	State: 04	Flags: 0x04130080	Pos: 2.314e+00	Vel: 2.684e+02	Iq: 4.369e+00	DcV: 2.289e+01	DcI: 1.033e+00	DcP:-1.685e+01	ExV: 2.648e+01	ExI: 4.119e-01	ExP: 1.088e+01	WoV: 1.176e+01	WoI: 3.187e-01	WoP: 3.747e+00	Tm:-1.750e+02	Tr: 1.967e+02
2025/12/09 00:03:13.006 Cnt: 00000189	State: 04	Flags: 0x04130080	Pos: 2.814e+00	Vel: 2.895e+02	Iq: 4.673e+00	DcV: 2.345e+01	DcI: 1.151e+00	DcP:-2.131e+01	ExV: 2.637e+01	ExI: 3.972e-01	ExP: 1.044e+01	WoV: 1.176e+01	WoI: 3.193e-01	WoP: 3.756e+00	Tm:-1.354e+02	Tr: 1.997e+02
2025/12/09 00:03:23.067 Cnt: 00000199	State: 04	Flags: 0x04130080	Pos:-2.373e+00	Vel: 2.562e+02	Iq: 9.594e+00	DcV: 2.362e+01	DcI: 2.314e-01	DcP:-3.733e+00	ExV: 2.661e+01	ExI: 3.896e-01	ExP: 1.035e+01	WoV: 1.176e+01	WoI: 3.210e-01	WoP: 3.775e+00	Tm:-4.823e+02	Tr: 4.908e+02
2025/12/09 00:03:33.128 Cnt: 00000209	State: 04	Flags: 0x04130080	Pos: 2.467e-01	Vel: 8.659e+01	Iq: 1.368e+00	DcV: 2.374e+01	DcI: 6.343e-02	DcP:-9.816e-01	ExV: 2.638e+01	ExI: 3.872e-01	ExP: 1.017e+01	WoV: 1.177e+01	WoI: 3.219e-01	WoP: 3.786e+00	Tm:-3.384e+02	Tr: 3.399e+02
2025/12/09 00:03:43.188 Cnt: 00000219	State: 04	Flags: 0x04130080	Pos: 1.695e+00	Vel: 1.774e+02	Iq: 2.856e+00	DcV: 2.397e+01	DcI: 3.929e-01	DcP:-7.494e+00	ExV: 2.660e+01	ExI: 3.751e-01	ExP: 9.932e+00	WoV: 1.176e+01	WoI: 3.211e-01	WoP: 3.776e+00	Tm:-2.475e+02	Tr: 2.624e+02
2025/12/09 00:03:53.244 Cnt: 00000229	State: 04	Flags: 0x04130080	Pos: 8.245e-01	Vel: 5.721e+01	Iq: 1.513e+01	DcV: 2.410e+01	DcI: 3.767e-02	DcP: 1.401e-01	ExV: 2.651e+01	ExI: 3.862e-01	ExP: 1.022e+01	WoV: 1.177e+01	WoI: 3.244e-01	WoP: 3.816e+00	Tm:-2.773e+02	Tr: 2.786e+02
2025/12/09 00:04:03.303 Cnt: 00000239	State: 04	Flags: 0x04130080	Pos:-5.860e-01	Vel: 1.030e+02	Iq: 1.614e+00	DcV: 2.413e+01	DcI: 1.130e-01	DcP:-1.779e+00	ExV: 2.662e+01	ExI: 3.750e-01	ExP: 9.950e+00	WoV: 1.177e+01	WoI: 3.222e-01	WoP: 3.790e+00	Tm:-4.046e+02	Tr: 4.047e+02
2025/12/09 00:04:13.364 Cnt: 00000249	State: 04	Flags: 0x04130080	Pos: 2.155e-01	Vel: 9.737e+01	Iq: 1.541e+00	DcV: 2.430e+01	DcI: 8.913e-02	DcP:-1.390e+00	ExV: 2.657e+01	ExI: 3.668e-01	ExP: 9.699e+00	WoV: 1.176e+01	WoI: 3.251e-01	WoP: 3.824e+00	Tm:-3.451e+02	Tr: 3.454e+02
2025/12/09 00:04:23.424 Cnt: 00000259	State: 04	Flags: 0x04130080	Pos: 2.649e-01	Vel: 2.112e+02	Iq: 3.382e+00	DcV: 2.470e+01	DcI: 5.370e-01	DcP:-1.028e+01	ExV: 2.665e+01	ExI: 3.837e-01	ExP: 1.019e+01	WoV: 1.176e+01	WoI: 3.216e-01	WoP: 3.781e+00	Tm:-3.639e+02	Tr: 3.664e+02
2025/12/09 00:04:33.482 Cnt: 00000269	State: 04	Flags: 0x44130080	Pos:-1.523e+00	Vel: 4.585e+02	Iq: 7.503e+00	DcV: 2.509e+01	DcI: 2.590e+00	DcP:-5.207e+01	ExV: 2.663e+01	ExI: 4.000e-01	ExP: 1.063e+01	WoV: 1.176e+01	WoI: 3.188e-01	WoP: 3.750e+00	Tm:-4.631e+02	Tr: 4.840e+02
2025/12/09 00:04:43.546 Cnt: 00000279	State: 04	Flags: 0x04130080	Pos: 5.389e-01	Vel: 2.077e+02	Iq: 3.337e+00	DcV: 2.536e+01	DcI: 4.453e-01	DcP:-9.967e+00	ExV: 2.667e+01	ExI: 3.835e-01	ExP: 1.020e+01	WoV: 1.176e+01	WoI: 3.206e-01	WoP: 3.770e+00	Tm:-3.342e+02	Tr: 3.451e+02
2025/12/09 00:04:53.604 Cnt: 00000289	State: 04	Flags: 0x04130080	Pos: 2.788e+00	Vel: 1.890e+02	Iq: 3.122e+00	DcV: 2.552e+01	DcI: 4.176e-01	DcP:-8.184e+00	ExV: 2.662e+01	ExI: 3.612e-01	ExP: 9.581e+00	WoV: 1.177e+01	WoI: 3.230e-01	WoP: 3.799e+00	Tm:-1.486e+02	Tr: 1.612e+02
2025/12/09 00:05:03.661 Cnt: 00000299	State: 04	Flags: 0x04030080	Pos: 4.635e-01	Vel: 7.876e+01	Iq: 3.141e+01	DcV: 2.568e+01	DcI: 6.660e-03	DcP: 1.705e-01	ExV: 2.664e+01	ExI: 3.719e-01	ExP: 9.862e+00	WoV: 1.176e+01	WoI: 3.229e-01	WoP: 3.797e+00	Tm:-2.474e+02	Tr: 2.476e+02
2025/12/09 00:05:13.726 Cnt: 00000309	State: 04	Flags: 0x04130080	Pos: 9.704e-01	Vel: 4.043e+02	Iq: 6.488e+00	DcV: 2.627e+01	DcI: 1.774e+00	DcP:-4.092e+01	ExV: 2.667e+01	ExI: 3.446e-01	ExP: 9.160e+00	WoV: 1.176e+01	WoI: 3.253e-01	WoP: 3.825e+00	Tm:-3.236e+02	Tr: 3.659e+02
