2025/11/04 00:02:41.255 Cnt: 00000159	State: 04	Flags: 0x04330100	Pos: 1.749e+00	Vel: 2.960e+02	Iq: 3.679e+00	DcV: 2.744e+01	DcI: 6.193e-01	DcP:-1.590e+01	ExV: 2.656e+01	ExI: 2.807e-01	ExP: 7.433e+00	WoV: 1.176e+01	WoI: 3.228e-01	WoP: 3.797e+00	Tm:-3.394e+02	Tr: 3.567e+02
2025/11/04 00:02:51.304 Cnt: 00000169	State: 04	Flags: 0x04330100	Pos: 3.655e+00	Vel: 3.416e+02	Iq: 4.497e+00	DcV: 2.751e+01	DcI: 1.064e+00	DcP:-2.306e+01	ExV: 2.651e+01	ExI: 2.951e-01	ExP: 7.799e+00	WoV: 1.177e+01	WoI: 3.213e-01	WoP: 3.780e+00	Tm:-1.311e+02	Tr: 2.201e+02
2025/11/04 00:03:01.357 Cnt: 00000179	State: 04	Flags: 0x04330100	Pos: 2.964e-01	Vel: 2.115e+02	Iq: 2.761e+00	DcV: 2.756e+01	DcI: 3.407e-01	DcP:-8.354e+00	ExV: 2.658e+01	ExI: 2.793e-01	ExP: 7.389e+00	WoV: 1.177e+01	WoI: 3.184e-01	WoP: 3.746e+00	Tm:-4.220e+02	Tr: 4.282e+02
2025/11/04 00:03:11.411 Cnt: 00000189	State: 04	Flags: 0x04330000	Pos: 4.135e+00	Vel: 1.856e+02	Iq: 2.426e+00	DcV: 2.774e+01	DcI: 2.554e-01	DcP:-5.620e+00	ExV: 2.655e+01	ExI: 1.255e+00	ExP: 3.319e+01	WoV: 1.177e+01	WoI: 3.200e-01	WoP: 3.765e+00	Tm:-9.816e+01	Tr: 1.207e+02
2025/11/04 00:03:21.452 Cnt: 00000199	State: 04	Flags: 0x04330100	Pos: 2.498e+00	Vel: 1.455e+02	Iq: 1.834e+01	DcV: 2.743e+01	DcI: 2.456e-02	DcP:-1.487e-02	ExV: 2.658e+01	ExI: 2.641e-01	ExP: 6.989e+00	WoV: 1.176e+01	WoI: 3.224e-01	WoP: 3.791e+00	Tm:-2.012e+02	Tr: 2.032e+02
2025/11/04 00:03:31.497 Cnt: 00000209	State: 04	Flags: 0x04330100	Pos: 2.130e+00	Vel: 1.927e+02	Iq: 2.164e+01	DcV: 2.750e+01	DcI: 6.789e-02	DcP:-2.976e-01	ExV: 2.659e+01	ExI: 2.706e-01	ExP: 7.130e+00	WoV: 1.176e+01	WoI: 3.182e-01	WoP: 3.742e+00	Tm:-2.114e+02	Tr: 2.221e+02
2025/11/04 00:03:41.549 Cnt: 00000219	State: 04	Flags: 0x04330100	Pos:-5.345e-01	Vel: 2.682e+02	Iq: 3.153e+00	DcV: 2.766e+01	DcI: 5.432e-01	DcP:-1.127e+01	ExV: 2.657e+01	ExI: 2.767e-01	ExP: 7.309e+00	WoV: 1.176e+01	WoI: 3.201e-01	WoP: 3.764e+00	Tm:-4.854e+02	Tr: 4.867e+02
2025/11/04 00:03:51.619 Cnt: 00000229	State: 04	Flags: 0x04330100	Pos: 3.741e-02	Vel: 1.043e+02	Iq: 1.350e+00	DcV: 2.788e+01	DcI: 9.560e-02	DcP:-1.217e+00	ExV: 2.648e+01	ExI: 2.838e-01	ExP: 7.473e+00	WoV: 1.176e+01	WoI: 3.212e-01	WoP: 3.777e+00	Tm:-4.331e+02	Tr: 4.333e+02
2025/11/04 00:04:01.654 Cnt: 00000239	State: 04	Flags: 0x04330100	Pos: 9.795e-01	Vel: 3.552e+02	Iq: 4.669e+00	DcV: 2.787e+01	DcI: 1.158e+00	DcP:-2.608e+01	ExV: 2.651e+01	ExI: 7.784e-01	ExP: 1.966e+01	WoV: 1.176e+01	WoI: 3.203e-01	WoP: 3.767e+00	Tm:-3.775e+02	Tr: 3.978e+02
2025/11/04 00:04:11.706 Cnt: 00000249	State: 04	Flags: 0x04330100	Pos: 3.169e+00	Vel: 2.782e+02	Iq: 3.672e+00	DcV: 2.788e+01	DcI: 5.975e-01	DcP:-1.485e+01	ExV: 2.652e+01	ExI: 8.303e-01	ExP: 2.175e+01	WoV: 1.176e+01	WoI: 3.185e-01	WoP: 3.746e+00	Tm:-1.827e+02	Tr: 2.364e+02
