2025/11/21 00:02:43.301 Cnt: 00000159	State: 04	Flags: 0x04130080	Pos:-8.314e-01	Vel: 2.332e+02	Iq: 2.960e+00	DcV: 1.277e+01	DcI: 9.792e-01	DcP:-1.132e+01	ExV: 2.545e+01	ExI: 3.440e-01	ExP: 8.721e+00	WoV: 1.176e+01	WoI: 3.170e-01	WoP: 3.728e+00	Tm:-1.107e+02	Tr: 1.656e+02
2025/11/21 00:02:53.353 Cnt: 00000169	State: 04	Flags: 0x04030080	Pos:-3.114e-01	Vel: 8.736e+01	Iq: 3.555e+01	DcV: 1.275e+01	DcI: 6.979e-03	DcP: 8.876e-02	ExV: 2.544e+01	ExI: 3.480e-01	ExP: 8.830e+00	WoV: 1.176e+01	WoI: 3.184e-01	WoP: 3.743e+00	Tm:-2.499e+01	Tr: 3.789e+01
2025/11/21 00:03:03.400 Cnt: 00000179	State: 04	Flags: 0x04030080	Pos:-8.994e-01	Vel: 7.617e+01	Iq: 3.312e+01	DcV: 1.276e+01	DcI: 6.986e-03	DcP: 8.904e-02	ExV: 2.544e+01	ExI: 3.251e-01	ExP: 8.239e+00	WoV: 1.176e+01	WoI: 3.193e-01	WoP: 3.754e+00	Tm:-8.757e+01	Tr: 9.325e+01
2025/11/21 00:03:13.455 Cnt: 00000189	State: 04	Flags: 0x04130080	Pos: 6.371e-01	Vel: 2.745e+02	Iq: 3.560e+00	DcV: 1.295e+01	DcI: 1.569e+00	DcP:-1.470e+01	ExV: 2.545e+01	ExI: 3.262e-01	ExP: 8.275e+00	WoV: 1.176e+01	WoI: 3.178e-01	WoP: 3.737e+00	Tm: 6.314e+01	Tr: 1.316e+02
2025/11/21 00:03:23.516 Cnt: 00000199	State: 04	Flags: 0x04130080	Pos:-1.225e+00	Vel: 1.373e+02	Iq: 1.812e+00	DcV: 1.322e+01	DcI: 2.808e-01	DcP:-3.427e+00	ExV: 2.545e+01	ExI: 3.284e-01	ExP: 8.316e+00	WoV: 1.176e+01	WoI: 3.189e-01	WoP: 3.749e+00	Tm:-1.387e+02	Tr: 1.516e+02
2025/11/21 00:03:33.576 Cnt: 00000209	State: 04	Flags: 0x04130080	Pos:-1.912e+00	Vel: 2.025e+02	Iq: 2.663e+00	DcV: 1.348e+01	DcI: 6.779e-01	DcP:-8.360e+00	ExV: 2.545e+01	ExI: 3.214e-01	ExP: 8.153e+00	WoV: 1.176e+01	WoI: 3.224e-01	WoP: 3.790e+00	Tm:-1.978e+02	Tr: 2.150e+02
2025/11/21 00:03:43.625 Cnt: 00000219	State: 04	Flags: 0x04130080	Pos:-4.623e-01	Vel: 1.003e+02	Iq: 2.738e+01	DcV: 1.345e+01	DcI: 3.422e-02	DcP: 2.686e-01	ExV: 2.545e+01	ExI: 3.448e-01	ExP: 8.759e+00	WoV: 1.176e+01	WoI: 3.164e-01	WoP: 3.720e+00	Tm:-4.954e+01	Tr: 7.083e+01
2025/11/21 00:03:53.687 Cnt: 00000229	State: 04	Flags: 0x04130080	Pos:-1.079e-01	Vel: 1.634e+02	Iq: 2.189e+00	DcV: 1.362e+01	DcI: 5.174e-01	DcP:-5.026e+00	ExV: 2.545e+01	ExI: 3.288e-01	ExP: 8.348e+00	WoV: 1.176e+01	WoI: 3.192e-01	WoP: 3.752e+00	Tm:-3.017e+01	Tr: 7.340e+01
2025/11/21 00:04:03.751 Cnt: 00000239	State: 04	Flags: 0x04130080	Pos: 1.354e+00	Vel: 3.515e+02	Iq: 4.641e+00	DcV: 1.392e+01	DcI: 2.483e+00	DcP:-2.484e+01	ExV: 2.550e+01	ExI: 3.095e-01	ExP: 7.859e+00	WoV: 1.176e+01	WoI: 3.167e-01	WoP: 3.724e+00	Tm: 1.176e+02	Tr: 1.702e+02
2025/11/21 00:04:13.801 Cnt: 00000249	State: 04	Flags: 0x04130080	Pos:-8.051e-01	Vel: 2.993e+02	Iq: 3.992e+00	DcV: 1.466e+01	DcI: 1.409e+00	DcP:-1.902e+01	ExV: 2.550e+01	ExI: 3.182e-01	ExP: 8.088e+00	WoV: 1.176e+01	WoI: 3.187e-01	WoP: 3.748e+00	Tm:-9.021e+01	Tr: 1.774e+02
2025/11/21 00:04:23.862 Cnt: 00000259	State: 04	Flags: 0x04130080	Pos:-3.420e+00	Vel: 1.656e+02	Iq: 2.180e+00	DcV: 1.503e+01	DcI: 4.533e-01	DcP:-4.879e+00	ExV: 2.552e+01	ExI: 3.229e-01	ExP: 8.185e+00	WoV: 1.176e+01	WoI: 3.190e-01	WoP: 3.750e+00	Tm:-3.312e+02	Tr: 3.320e+02
2025/11/21 00:04:33.919 Cnt: 00000269	State: 04	Flags: 0x04130080	Pos:-2.526e+00	Vel: 1.141e+02	Iq: 1.465e+00	DcV: 1.514e+01	DcI: 2.236e-01	DcP:-2.107e+00	ExV: 2.550e+01	ExI: 3.302e-01	ExP: 8.404e+00	WoV: 1.176e+01	WoI: 3.187e-01	WoP: 3.748e+00	Tm:-2.572e+02	Tr: 2.596e+02
