2025/11/27 00:02:43.524 Cnt: 00000159	State: 04	Flags: 0x04130080	Pos: 3.443e+00	Vel: 3.754e+02	Iq: 4.929e+00	DcV: 1.689e+01	DcI: 1.817e+00	DcP:-2.898e+01	ExV: 2.559e+01	ExI: 2.998e-01	ExP: 7.645e+00	WoV: 1.176e+01	WoI: 3.238e-01	WoP: 3.807e+00	Tm:-2.367e+02	Tr: 2.889e+02
2025/11/27 00:02:53.580 Cnt: 00000169	State: 04	Flags: 0x04130080	Pos: 1.787e+00	Vel: 1.574e+02	Iq: 2.049e+00	DcV: 1.693e+01	DcI: 3.375e-01	DcP:-4.415e+00	ExV: 2.567e+01	ExI: 2.941e-01	ExP: 7.501e+00	WoV: 1.176e+01	WoI: 3.215e-01	WoP: 3.779e+00	Tm:-3.523e+02	Tr: 3.538e+02
2025/11/27 00:03:03.636 Cnt: 00000179	State: 04	Flags: 0x04030080	Pos: 3.934e+00	Vel: 8.517e+01	Iq: 3.581e+01	DcV: 1.736e+01	DcI: 6.845e-03	DcP: 1.187e-01	ExV: 2.566e+01	ExI: 2.983e-01	ExP: 7.619e+00	WoV: 1.176e+01	WoI: 3.207e-01	WoP: 3.771e+00	Tm:-1.391e+02	Tr: 1.402e+02
2025/11/27 00:03:13.697 Cnt: 00000189	State: 04	Flags: 0x04130080	Pos: 3.905e+00	Vel: 2.334e+02	Iq: 3.067e+00	DcV: 1.793e+01	DcI: 7.521e-01	DcP:-1.091e+01	ExV: 2.565e+01	ExI: 2.999e-01	ExP: 7.672e+00	WoV: 1.176e+01	WoI: 3.231e-01	WoP: 3.799e+00	Tm:-1.996e+02	Tr: 2.231e+02
2025/11/27 00:03:23.757 Cnt: 00000199	State: 04	Flags: 0x04130080	Pos: 4.584e+00	Vel: 2.656e+02	Iq: 3.512e+00	DcV: 1.855e+01	DcI: 8.587e-01	DcP:-1.417e+01	ExV: 2.550e+01	ExI: 2.706e-01	ExP: 6.845e+00	WoV: 1.176e+01	WoI: 3.216e-01	WoP: 3.781e+00	Tm:-1.110e+02	Tr: 1.759e+02
2025/11/27 00:03:33.817 Cnt: 00000209	State: 04	Flags: 0x04130080	Pos: 3.150e+00	Vel: 2.098e+02	Iq: 2.787e+00	DcV: 1.867e+01	DcI: 5.016e-01	DcP:-8.700e+00	ExV: 2.559e+01	ExI: 2.635e-01	ExP: 6.690e+00	WoV: 1.175e+01	WoI: 3.213e-01	WoP: 3.775e+00	Tm:-2.512e+02	Tr: 2.645e+02
2025/11/27 00:03:43.903 Cnt: 00000219	State: 04	Flags: 0x04130080	Pos: 3.070e+00	Vel: 2.608e+02	Iq: 3.442e+00	DcV: 1.889e+01	DcI: 8.773e-01	DcP:-1.408e+01	ExV: 2.566e+01	ExI: 2.995e-01	ExP: 7.639e+00	WoV: 1.176e+01	WoI: 3.258e-01	WoP: 3.829e+00	Tm:-2.546e+02	Tr: 2.768e+02
2025/11/27 00:03:53.935 Cnt: 00000229	State: 04	Flags: 0x04130080	Pos: 1.122e+00	Vel: 2.866e+02	Iq: 3.692e+00	DcV: 1.992e+01	DcI: 1.021e+00	DcP:-1.737e+01	ExV: 2.566e+01	ExI: 2.949e-01	ExP: 7.521e+00	WoV: 1.176e+01	WoI: 3.226e-01	WoP: 3.792e+00	Tm:-4.241e+02	Tr: 4.301e+02
2025/11/27 00:04:03.994 Cnt: 00000239	State: 04	Flags: 0x04130080	Pos: 5.462e+00	Vel: 1.873e+02	Iq: 2.383e+00	DcV: 2.026e+01	DcI: 5.323e-01	DcP:-7.258e+00	ExV: 2.558e+01	ExI: 3.345e-01	ExP: 8.507e+00	WoV: 1.176e+01	WoI: 3.196e-01	WoP: 3.757e+00	Tm:-3.958e+01	Tr: 8.350e+01
2025/11/27 00:04:14.047 Cnt: 00000249	State: 04	Flags: 0x04030080	Pos: 3.604e+00	Vel: 3.964e+01	Iq: 3.385e+01	DcV: 2.023e+01	DcI: 6.666e-03	DcP: 1.347e-01	ExV: 2.568e+01	ExI: 3.225e-01	ExP: 8.254e+00	WoV: 1.176e+01	WoI: 3.250e-01	WoP: 3.821e+00	Tm:-1.640e+02	Tr: 1.647e+02
2025/11/27 00:04:24.106 Cnt: 00000259	State: 04	Flags: 0x04130080	Pos: 1.531e+00	Vel: 2.945e+02	Iq: 3.856e+00	DcV: 2.043e+01	DcI: 1.094e+00	DcP:-1.762e+01	ExV: 2.563e+01	ExI: 3.247e-01	ExP: 8.281e+00	WoV: 1.176e+01	WoI: 3.201e-01	WoP: 3.763e+00	Tm:-3.850e+02	Tr: 3.930e+02
2025/11/27 00:04:34.163 Cnt: 00000269	State: 04	Flags: 0x04130080	Pos: 2.609e+00	Vel: 3.179e+02	Iq: 4.194e+00	DcV: 2.093e+01	DcI: 1.167e+00	DcP:-2.055e+01	ExV: 2.556e+01	ExI: 2.868e-01	ExP: 7.308e+00	WoV: 1.176e+01	WoI: 3.199e-01	WoP: 3.761e+00	Tm:-3.239e+02	Tr: 3.403e+02
2025/11/27 00:04:44.217 Cnt: 00000279	State: 04	Flags: 0x04130080	Pos: 3.954e+00	Vel: 2.288e+02	Iq: 3.000e+00	DcV: 2.102e+01	DcI: 6.479e-01	DcP:-1.039e+01	ExV: 2.559e+01	ExI: 3.206e-01	ExP: 8.180e+00	WoV: 1.176e+01	WoI: 3.210e-01	WoP: 3.773e+00	Tm:-2.138e+02	Tr: 2.329e+02
2025/11/27 00:04:54.274 Cnt: 00000289	State: 04	Flags: 0x04130080	Pos: 2.544e+00	Vel: 4.022e+01	Iq: 1.615e+01	DcV: 2.109e+01	DcI: 2.477e-02	DcP: 4.349e-01	ExV: 2.573e+01	ExI: 3.298e-01	ExP: 8.449e+00	WoV: 1.176e+01	WoI: 3.219e-01	WoP: 3.783e+00	Tm:-2.970e+02	Tr: 2.986e+02
2025/11/27 00:05:04.331 Cnt: 00000299	State: 04	Flags: 0x04130080	Pos: 3.414e+00	Vel: 2.076e+02	Iq: 2.657e+00	DcV: 2.120e+01	DcI: 4.636e-01	DcP:-8.688e+00	ExV: 2.570e+01	ExI: 3.114e-01	ExP: 7.968e+00	WoV: 1.176e+01	WoI: 3.227e-01	WoP: 3.793e+00	Tm:-2.391e+02	Tr: 2.544e+02
2025/11/27 00:05:14.441 Cnt: 00000309	State: 04	Flags: 0x04130080	Pos: 2.561e+00	Vel: 5.787e+02	Iq: 7.648e+00	DcV: 2.212e+01	DcI: 4.099e+00	DcP:-7.256e+01	ExV: 2.563e+01	ExI: 3.191e-01	ExP: 8.154e+00	WoV: 1.175e+01	WoI: 3.225e-01	WoP: 3.789e+00	Tm:-2.945e+02	Tr: 3.713e+02
2025/11/27 00:05:24.450 Cnt: 00000319	State: 04	Flags: 0x04130080	Pos: 3.456e+00	Vel: 3.355e+02	Iq: 4.390e+00	DcV: 2.248e+01	DcI: 1.016e+00	DcP:-2.268e+01	ExV: 2.570e+01	ExI: 3.340e-01	ExP: 8.546e+00	WoV: 1.176e+01	WoI: 3.198e-01	WoP: 3.761e+00	Tm:-2.812e+02	Tr: 3.144e+02
2025/11/27 00:05:34.530 Cnt: 00000329	State: 04	Flags: 0x04130080	Pos: 8.508e+00	Vel: 3.805e+02	Iq: 4.999e+00	DcV: 2.277e+01	DcI: 1.561e+00	DcP:-2.982e+01	ExV: 2.566e+01	ExI: 3.246e-01	ExP: 8.302e+00	WoV: 1.176e+01	WoI: 3.203e-01	WoP: 3.765e+00	Tm: 1.834e+02	Tr: 2.350e+02
2025/11/27 00:05:44.587 Cnt: 00000339	State: 04	Flags: 0x04130080	Pos: 2.563e+00	Vel: 1.116e+02	Iq: 1.472e+00	DcV: 2.299e+01	DcI: 8.249e-02	DcP:-1.613e+00	ExV: 2.561e+01	ExI: 3.275e-01	ExP: 8.364e+00	WoV: 1.176e+01	WoI: 3.165e-01	WoP: 3.721e+00	Tm:-3.179e+02	Tr: 3.209e+02
2025/11/27 00:05:54.621 Cnt: 00000349	State: 04	Flags: 0x04030080	Pos: 3.429e+00	Vel: 5.900e+01	Iq: 1.926e+01	DcV: 2.317e+01	DcI: 3.143e-02	DcP: 3.925e-02	ExV: 2.564e+01	ExI: 3.310e-01	ExP: 8.466e+00	WoV: 1.176e+01	WoI: 3.180e-01	WoP: 3.738e+00	Tm:-2.207e+02	Tr: 2.242e+02
2025/11/27 00:06:04.739 Cnt: 00000359	State: 04	Flags: 0x04130080	Pos: 4.555e+00	Vel: 2.107e+02	Iq: 2.785e+00	DcV: 2.330e+01	DcI: 4.871e-01	DcP:-8.704e+00	ExV: 2.569e+01	ExI: 3.565e-01	ExP: 9.124e+00	WoV: 1.176e+01	WoI: 3.213e-01	WoP: 3.777e+00	Tm:-1.679e+02	Tr: 1.849e+02
2025/11/27 00:06:14.736 Cnt: 00000369	State: 04	Flags: 0x04130080	Pos: 9.666e+00	Vel: 4.521e+02	Iq: 5.996e+00	DcV: 2.371e+01	DcI: 2.410e+00	DcP:-4.036e+01	ExV: 2.563e+01	ExI: 3.309e-01	ExP: 8.430e+00	WoV: 1.175e+01	WoI: 3.246e-01	WoP: 3.811e+00	Tm: 2.866e+02	Tr: 2.992e+02
2025/11/27 00:06:24.795 Cnt: 00000379	State: 04	Flags: 0x04130080	Pos: 4.579e+00	Vel: 8.983e+01	Iq: 1.261e+00	DcV: 2.397e+01	DcI: 4.208e-02	DcP:-6.052e-01	ExV: 2.551e+01	ExI: 2.960e-01	ExP: 7.513e+00	WoV: 1.176e+01	WoI: 3.222e-01	WoP: 3.789e+00	Tm:-1.463e+02	Tr: 1.522e+02
2025/11/27 00:06:34.856 Cnt: 00000389	State: 04	Flags: 0x04130080	Pos: 2.249e+00	Vel: 1.842e+02	Iq: 2.370e+00	DcV: 2.405e+01	DcI: 3.356e-01	DcP:-6.218e+00	ExV: 2.569e+01	ExI: 3.188e-01	ExP: 8.171e+00	WoV: 1.176e+01	WoI: 3.228e-01	WoP: 3.795e+00	Tm:-3.562e+02	Tr: 3.600e+02
2025/11/27 00:06:44.913 Cnt: 00000399	State: 04	Flags: 0x04130080	Pos: 1.869e+00	Vel: 1.802e+02	Iq: 2.307e+00	DcV: 2.412e+01	DcI: 2.792e-01	DcP:-5.546e+00	ExV: 2.564e+01	ExI: 3.326e-01	ExP: 8.494e+00	WoV: 1.176e+01	WoI: 3.205e-01	WoP: 3.769e+00	Tm:-3.713e+02	Tr: 3.762e+02
2025/11/27 00:06:54.967 Cnt: 00000409	State: 04	Flags: 0x04130080	Pos: 5.171e+00	Vel: 4.773e+02	Iq: 6.250e+00	DcV: 2.446e+01	DcI: 2.258e+00	DcP:-4.723e+01	ExV: 2.568e+01	ExI: 3.296e-01	ExP: 8.430e+00	WoV: 1.176e+01	WoI: 3.209e-01	WoP: 3.774e+00	Tm:-8.382e+01	Tr: 2.506e+02
2025/11/27 00:07:05.025 Cnt: 00000419	State: 04	Flags: 0x04130080	Pos: 1.514e+00	Vel: 6.086e+01	Iq: 8.974e-01	DcV: 2.475e+01	DcI: 3.062e-02	DcP: 4.439e-01	ExV: 2.571e+01	ExI: 3.399e-01	ExP: 8.701e+00	WoV: 1.176e+01	WoI: 3.214e-01	WoP: 3.778e+00	Tm:-3.924e+02	Tr: 3.928e+02
2025/11/27 00:07:15.084 Cnt: 00000429	State: 04	Flags: 0x04130080	Pos: 4.088e+00	Vel: 1.052e+02	Iq: 1.424e+00	DcV: 2.480e+01	DcI: 7.317e-02	DcP:-1.227e+00	ExV: 2.561e+01	ExI: 3.469e-01	ExP: 8.854e+00	WoV: 1.176e+01	WoI: 3.197e-01	WoP: 3.760e+00	Tm:-1.968e+02	Tr: 2.008e+02
2025/11/27 00:07:25.141 Cnt: 00000439	State: 04	Flags: 0x04130080	Pos: 3.067e+00	Vel: 8.990e+01	Iq: 1.136e+00	DcV: 2.488e+01	DcI: 4.912e-02	DcP:-5.281e-01	ExV: 2.562e+01	ExI: 3.183e-01	ExP: 8.097e+00	WoV: 1.176e+01	WoI: 3.208e-01	WoP: 3.771e+00	Tm:-2.752e+02	Tr: 2.766e+02
2025/11/27 00:07:35.193 Cnt: 00000449	State: 04	Flags: 0x04130080	Pos: 5.790e+00	Vel: 9.604e+01	Iq: 1.235e+00	DcV: 2.518e+01	DcI: 6.048e-02	DcP:-9.406e-01	ExV: 2.572e+01	ExI: 3.254e-01	ExP: 8.338e+00	WoV: 1.176e+01	WoI: 3.198e-01	WoP: 3.759e+00	Tm:-6.745e+00	Tr: 5.493e+01
2025/11/27 00:07:45.253 Cnt: 00000459	State: 04	Flags: 0x04130080	Pos: 3.703e+00	Vel: 1.742e+02	Iq: 2.347e+00	DcV: 2.527e+01	DcI: 3.227e-01	DcP:-6.011e+00	ExV: 2.567e+01	ExI: 3.258e-01	ExP: 8.328e+00	WoV: 1.176e+01	WoI: 3.193e-01	WoP: 3.755e+00	Tm:-2.464e+02	Tr: 2.576e+02
2025/11/27 00:07:55.311 Cnt: 00000469	State: 04	Flags: 0x04130080	Pos: 4.070e+00	Vel: 2.143e+02	Iq: 2.827e+00	DcV: 2.550e+01	DcI: 3.907e-01	DcP:-8.383e+00	ExV: 2.560e+01	ExI: 3.418e-01	ExP: 8.716e+00	WoV: 1.176e+01	WoI: 3.186e-01	WoP: 3.746e+00	Tm:-1.980e+02	Tr: 2.257e+02
2025/11/27 00:08:05.367 Cnt: 00000479	State: 04	Flags: 0x04130080	Pos: 5.891e+00	Vel: 1.538e+02	Iq: 2.024e+00	DcV: 2.620e+01	DcI: 1.896e-01	DcP:-3.455e+00	ExV: 2.562e+01	ExI: 3.504e-01	ExP: 8.939e+00	WoV: 1.176e+01	WoI: 3.239e-01	WoP: 3.808e+00	Tm:-7.497e+00	Tr: 8.268e+01
2025/11/27 00:08:15.426 Cnt: 00000489	State: 04	Flags: 0x04330000	Pos: 8.673e+00	Vel: 1.019e+02	Iq: 1.355e+00	DcV: 2.560e+01	DcI: 8.389e-02	DcP:-8.161e-01	ExV: 2.634e+01	ExI: 4.381e+00	ExP: 1.154e+02	WoV: 1.176e+01	WoI: 3.181e-01	WoP: 3.740e+00	Tm: 2.323e+02	Tr: 2.359e+02
2025/11/27 00:08:25.479 Cnt: 00000499	State: 04	Flags: 0x04030080	Pos: 3.137e+00	Vel: 4.531e+01	Iq: 3.296e+01	DcV: 2.313e+01	DcI: 1.450e-02	DcP: 2.592e-01	ExV: 2.625e+01	ExI: 3.752e+00	ExP: 9.167e+01	WoV: 1.176e+01	WoI: 3.230e-01	WoP: 3.798e+00	Tm:-2.104e+02	Tr: 2.114e+02
2025/11/27 00:08:35.535 Cnt: 00000509	State: 04	Flags: 0x04130080	Pos: 3.939e+00	Vel: 2.424e+02	Iq: 3.143e+00	DcV: 2.347e+01	DcI: 5.464e-01	DcP:-1.136e+01	ExV: 2.566e+01	ExI: 2.926e-01	ExP: 7.479e+00	WoV: 1.176e+01	WoI: 3.203e-01	WoP: 3.766e+00	Tm:-2.010e+02	Tr: 2.358e+02
2025/11/27 00:08:45.595 Cnt: 00000519	State: 04	Flags: 0x04130080	Pos: 5.616e-01	Vel: 2.700e+02	Iq: 3.588e+00	DcV: 2.381e+01	DcI: 7.232e-01	DcP:-1.373e+01	ExV: 2.556e+01	ExI: 3.139e-01	ExP: 8.003e+00	WoV: 1.176e+01	WoI: 3.150e-01	WoP: 3.705e+00	Tm:-4.774e+02	Tr: 4.799e+02
2025/11/27 00:08:55.648 Cnt: 00000529	State: 04	Flags: 0x04030080	Pos: 4.617e+00	Vel: 4.938e+01	Iq: 3.236e+01	DcV: 2.390e+01	DcI: 6.577e-03	DcP: 1.568e-01	ExV: 2.560e+01	ExI: 3.316e-01	ExP: 8.462e+00	WoV: 1.176e+01	WoI: 3.213e-01	WoP: 3.778e+00	Tm:-8.046e+01	Tr: 8.385e+01
2025/11/27 00:09:05.700 Cnt: 00000539	State: 04	Flags: 0x04130080	Pos: 5.124e+00	Vel: 1.266e+02	Iq: 1.674e+00	DcV: 2.393e+01	DcI: 1.429e-01	DcP:-2.313e+00	ExV: 2.567e+01	ExI: 3.511e-01	ExP: 9.001e+00	WoV: 1.175e+01	WoI: 3.167e-01	WoP: 3.722e+00	Tm:-9.317e+01	Tr: 1.219e+02
2025/11/27 00:09:15.758 Cnt: 00000549	State: 04	Flags: 0x04130080	Pos: 1.517e+00	Vel: 4.276e+01	Iq: 5.741e-01	DcV: 2.400e+01	DcI: 4.558e-02	DcP: 5.848e-01	ExV: 2.568e+01	ExI: 3.398e-01	ExP: 8.700e+00	WoV: 1.176e+01	WoI: 3.195e-01	WoP: 3.756e+00	Tm:-3.947e+02	Tr: 3.949e+02
2025/11/27 00:09:25.812 Cnt: 00000559	State: 04	Flags: 0x04130080	Pos: 3.677e+00	Vel: 7.973e+01	Iq: 1.036e+00	DcV: 2.430e+01	DcI: 4.147e-02	DcP:-3.949e-01	ExV: 2.559e+01	ExI: 2.916e-01	ExP: 7.437e+00	WoV: 1.176e+01	WoI: 3.221e-01	WoP: 3.788e+00	Tm:-2.304e+02	Tr: 2.335e+02
2025/11/27 00:09:35.868 Cnt: 00000569	State: 04	Flags: 0x04130080	Pos: 5.318e+00	Vel: 2.363e+02	Iq: 3.064e+00	DcV: 2.450e+01	DcI: 5.718e-01	DcP:-1.073e+01	ExV: 2.563e+01	ExI: 3.135e-01	ExP: 8.008e+00	WoV: 1.176e+01	WoI: 3.164e-01	WoP: 3.721e+00	Tm:-8.745e+01	Tr: 1.316e+02
2025/11/27 00:09:45.927 Cnt: 00000579	State: 04	Flags: 0x04130080	Pos: 4.901e+00	Vel: 2.392e+02	Iq: 3.173e+00	DcV: 2.518e+01	DcI: 4.542e-01	DcP:-1.036e+01	ExV: 2.568e+01	ExI: 3.166e-01	ExP: 8.071e+00	WoV: 1.176e+01	WoI: 3.199e-01	WoP: 3.761e+00	Tm:-1.139e+02	Tr: 1.728e+02
2025/11/27 00:09:55.986 Cnt: 00000589	State: 04	Flags: 0x04130080	Pos: 1.379e+00	Vel: 2.441e+02	Iq: 3.157e+00	DcV: 2.549e+01	DcI: 7.607e-01	DcP:-1.267e+01	ExV: 2.562e+01	ExI: 3.217e-01	ExP: 8.224e+00	WoV: 1.176e+01	WoI: 3.237e-01	WoP: 3.806e+00	Tm:-4.271e+02	Tr: 4.280e+02
2025/11/27 00:10:06.047 Cnt: 00000599	State: 04	Flags: 0x04130080	Pos: 2.564e+00	Vel: 2.189e+02	Iq: 2.958e+00	DcV: 2.588e+01	DcI: 4.325e-01	DcP:-8.719e+00	ExV: 2.554e+01	ExI: 3.286e-01	ExP: 8.337e+00	WoV: 1.176e+01	WoI: 3.204e-01	WoP: 3.767e+00	Tm:-3.467e+02	Tr: 3.522e+02
2025/11/27 00:10:16.105 Cnt: 00000609	State: 04	Flags: 0x04130080	Pos: 2.233e+00	Vel: 2.254e+02	Iq: 3.043e+00	DcV: 2.593e+01	DcI: 4.448e-01	DcP:-9.292e+00	ExV: 2.565e+01	ExI: 3.502e-01	ExP: 8.955e+00	WoV: 1.176e+01	WoI: 3.210e-01	WoP: 3.774e+00	Tm:-3.741e+02	Tr: 3.797e+02
2025/11/27 00:10:26.163 Cnt: 00000619	State: 04	Flags: 0x04130080	Pos: 1.060e+00	Vel: 3.112e+02	Iq: 4.022e+00	DcV: 2.622e+01	DcI: 8.617e-01	DcP:-1.880e+01	ExV: 2.575e+01	ExI: 3.585e-01	ExP: 9.184e+00	WoV: 1.176e+01	WoI: 3.190e-01	WoP: 3.751e+00	Tm:-4.504e+02	Tr: 4.553e+02
2025/11/27 00:10:36.218 Cnt: 00000629	State: 04	Flags: 0x04130080	Pos: 2.052e+00	Vel: 8.546e+01	Iq: 1.148e+00	DcV: 2.617e+01	DcI: 3.113e-02	DcP:-6.395e-02	ExV: 2.568e+01	ExI: 2.991e-01	ExP: 7.656e+00	WoV: 1.176e+01	WoI: 3.202e-01	WoP: 3.766e+00	Tm:-3.622e+02	Tr: 3.629e+02
2025/11/27 00:10:46.277 Cnt: 00000639	State: 04	Flags: 0x04130080	Pos: 4.900e+00	Vel: 3.642e+02	Iq: 4.746e+00	DcV: 2.656e+01	DcI: 1.210e+00	DcP:-2.607e+01	ExV: 2.570e+01	ExI: 3.186e-01	ExP: 8.158e+00	WoV: 1.176e+01	WoI: 3.196e-01	WoP: 3.758e+00	Tm:-1.176e+02	Tr: 2.102e+02
2025/11/27 00:10:56.332 Cnt: 00000649	State: 04	Flags: 0x04130080	Pos: 1.590e+00	Vel: 1.787e+02	Iq: 2.302e+00	DcV: 2.665e+01	DcI: 3.230e-01	DcP:-5.833e+00	ExV: 2.575e+01	ExI: 3.348e-01	ExP: 8.590e+00	WoV: 1.176e+01	WoI: 3.207e-01	WoP: 3.771e+00	Tm:-4.101e+02	Tr: 4.106e+02
