2025/11/19 00:02:40.799 Cnt: 00000159	State: 04	Flags: 0x04130080	Pos: 4.782e+00	Vel: 1.910e+02	Iq: 2.539e+00	DcV: 1.259e+01	DcI: 6.924e-01	DcP:-6.711e+00	ExV: 2.519e+01	ExI: 3.025e-01	ExP: 7.593e+00	WoV: 1.176e+01	WoI: 3.177e-01	WoP: 3.735e+00	Tm: 2.025e+01	Tr: 7.704e+01
2025/11/19 00:02:50.859 Cnt: 00000169	State: 04	Flags: 0x04130080	Pos: 2.814e+00	Vel: 2.745e+02	Iq: 3.702e+00	DcV: 1.283e+01	DcI: 1.272e+00	DcP:-1.580e+01	ExV: 2.518e+01	ExI: 3.342e-01	ExP: 8.398e+00	WoV: 1.176e+01	WoI: 3.183e-01	WoP: 3.742e+00	Tm:-1.714e+02	Tr: 2.092e+02
2025/11/19 00:03:00.913 Cnt: 00000179	State: 04	Flags: 0x04030080	Pos: 4.291e+00	Vel: 2.390e+01	Iq: 3.362e+01	DcV: 1.287e+01	DcI: 7.044e-03	DcP: 9.060e-02	ExV: 2.521e+01	ExI: 3.026e-01	ExP: 7.599e+00	WoV: 1.176e+01	WoI: 3.157e-01	WoP: 3.711e+00	Tm:-1.617e+01	Tr: 2.170e+01
2025/11/19 00:03:10.973 Cnt: 00000189	State: 04	Flags: 0x04130080	Pos: 6.086e+00	Vel: 1.661e+02	Iq: 2.204e+00	DcV: 1.344e+01	DcI: 8.001e-01	DcP:-5.767e+00	ExV: 2.519e+01	ExI: 2.969e-01	ExP: 7.455e+00	WoV: 1.176e+01	WoI: 3.197e-01	WoP: 3.759e+00	Tm: 1.337e+02	Tr: 1.445e+02
2025/11/19 00:03:21.030 Cnt: 00000199	State: 04	Flags: 0x04130080	Pos: 3.409e+00	Vel: 1.740e+02	Iq: 2.188e+01	DcV: 1.382e+01	DcI: 1.816e-01	DcP:-1.525e+00	ExV: 2.520e+01	ExI: 3.206e-01	ExP: 8.058e+00	WoV: 1.176e+01	WoI: 3.226e-01	WoP: 3.793e+00	Tm:-1.221e+02	Tr: 1.407e+02
2025/11/19 00:03:31.075 Cnt: 00000209	State: 04	Flags: 0x04030080	Pos: 4.252e+00	Vel: 8.999e+01	Iq: 3.143e+01	DcV: 1.383e+01	DcI: 6.948e-03	DcP: 9.598e-02	ExV: 2.519e+01	ExI: 3.037e-01	ExP: 7.630e+00	WoV: 1.176e+01	WoI: 3.166e-01	WoP: 3.722e+00	Tm:-1.158e+01	Tr: 4.143e+01
2025/11/19 00:03:41.124 Cnt: 00000219	State: 04	Flags: 0x04030080	Pos: 2.956e+00	Vel: 1.472e+01	Iq: 3.724e+01	DcV: 1.385e+01	DcI: 6.829e-03	DcP: 9.446e-02	ExV: 2.520e+01	ExI: 3.050e-01	ExP: 7.664e+00	WoV: 1.176e+01	WoI: 3.171e-01	WoP: 3.728e+00	Tm:-1.437e+02	Tr: 1.439e+02
2025/11/19 00:03:51.162 Cnt: 00000229	State: 04	Flags: 0x04030080	Pos: 2.831e+00	Vel: 3.113e+01	Iq: 3.210e+01	DcV: 1.384e+01	DcI: 6.827e-03	DcP: 9.441e-02	ExV: 2.520e+01	ExI: 3.243e-01	ExP: 8.154e+00	WoV: 1.176e+01	WoI: 3.184e-01	WoP: 3.743e+00	Tm:-1.551e+02	Tr: 1.553e+02
2025/11/19 00:04:01.215 Cnt: 00000239	State: 04	Flags: 0x04130080	Pos: 3.272e-01	Vel: 2.622e+02	Iq: 3.403e+00	DcV: 1.414e+01	DcI: 1.246e+00	DcP:-1.419e+01	ExV: 2.520e+01	ExI: 3.385e-01	ExP: 8.509e+00	WoV: 1.176e+01	WoI: 3.208e-01	WoP: 3.772e+00	Tm:-3.776e+02	Tr: 3.839e+02
2025/11/19 00:04:11.273 Cnt: 00000249	State: 04	Flags: 0x04130080	Pos: 1.667e+00	Vel: 2.013e+02	Iq: 2.577e+00	DcV: 1.443e+01	DcI: 7.466e-01	DcP:-7.849e+00	ExV: 2.527e+01	ExI: 3.228e-01	ExP: 8.133e+00	WoV: 1.176e+01	WoI: 3.230e-01	WoP: 3.797e+00	Tm:-2.920e+02	Tr: 2.978e+02
2025/11/19 00:04:21.329 Cnt: 00000259	State: 04	Flags: 0x04130080	Pos: 2.584e+00	Vel: 4.659e+01	Iq: 9.364e+00	DcV: 1.470e+01	DcI: 3.006e-02	DcP: 3.372e-01	ExV: 2.526e+01	ExI: 3.417e-01	ExP: 8.620e+00	WoV: 1.176e+01	WoI: 3.172e-01	WoP: 3.729e+00	Tm:-2.050e+02	Tr: 2.062e+02
2025/11/19 00:04:31.373 Cnt: 00000269	State: 04	Flags: 0x04030080	Pos: 4.200e+00	Vel: 7.504e+01	Iq: 3.389e+01	DcV: 1.471e+01	DcI: 6.848e-03	DcP: 1.006e-01	ExV: 2.527e+01	ExI: 3.171e-01	ExP: 7.979e+00	WoV: 1.176e+01	WoI: 3.224e-01	WoP: 3.790e+00	Tm:-2.512e+01	Tr: 5.470e+01
2025/11/19 00:04:41.424 Cnt: 00000279	State: 04	Flags: 0x04030080	Pos: 4.029e+00	Vel: 3.367e+01	Iq: 3.530e+01	DcV: 1.475e+01	DcI: 6.804e-03	DcP: 1.003e-01	ExV: 2.526e+01	ExI: 3.186e-01	ExP: 8.030e+00	WoV: 1.176e+01	WoI: 3.186e-01	WoP: 3.746e+00	Tm:-4.855e+01	Tr: 5.145e+01
2025/11/19 00:04:51.466 Cnt: 00000289	State: 04	Flags: 0x04030080	Pos: 4.225e+00	Vel: 3.223e+01	Iq: 3.237e+01	DcV: 1.474e+01	DcI: 6.883e-03	DcP: 1.014e-01	ExV: 2.525e+01	ExI: 3.155e-01	ExP: 7.940e+00	WoV: 1.176e+01	WoI: 3.175e-01	WoP: 3.733e+00	Tm:-2.525e+01	Tr: 2.705e+01
